playerName,season,team,birdies_per_round,drive_distance,eagles,fairway_pct,gir_pct,putting_avg,scrambling_pct
Peter Uihlein,2026,RangeGoats GC,42.0,298.3,2.0,42.86,79.17,1.57,73.33
Phachara Khongwatmai,2022,Korean Golf Club,81.0,299.8,2.0,54.98,59.26,1.55,59.09
Phil Mickelson,2022,,79.0,296.3,0.0,53.95,67.72,1.67,54.92
Phil Mickelson,2023,HyFlyers GC,160.0,301.8,5.0,52.3,64.81,1.6,53.04
Phil Mickelson,2024,HyFlyers GC,148.0,299.4,3.0,53.39,64.86,1.61,50.99
Phil Mickelson,2025,HyFlyers GC,149.0,305.3,0.0,56.18,62.31,1.56,60.96
Ratchanon Chantananuwat,2022,,7.0,264.2,0.0,53.85,48.15,1.59,50.0
Richard Bland,2022,Cleeks Golf Club,71.0,289.4,3.0,65.64,73.28,1.67,56.44
Richard Bland,2023,Cleeks Golf Club,162.0,297.6,6.0,67.22,67.09,1.57,63.2
Richard Bland,2024,Cleeks Golf Club,172.0,296.9,5.0,64.46,72.36,1.59,64.32
Richard Bland,2025,Cleeks Golf Club,151.0,297.5,3.0,63.04,65.83,1.57,63.01
Richard Bland,2026,Cleeks Golf Club,36.0,288.5,0.0,48.21,71.53,1.57,63.41
Richard T. Lee,2026,Wild Card,37.0,302.8,0.0,54.46,69.44,1.56,65.91
Ryosuke Kinoshita,2022,,24.0,289.1,0.0,57.94,59.88,1.63,61.54
Sadom Kaewkanjana,2022,Korean Golf Club,69.0,288.4,0.0,70.79,66.67,1.68,50.0
Sam Horsfield,2022,Majesticks Golf Club,74.0,303.3,4.0,60.14,65.34,1.64,59.54
Sam Horsfield,2023,Majesticks Golf Club,45.0,300.5,1.0,52.6,61.11,1.59,57.14
Sam Horsfield,2024,Majesticks Golf Club,146.0,304.3,1.0,55.02,68.02,1.61,53.52
Sam Horsfield,2025,Majesticks Golf Club,142.0,306.4,5.0,54.46,62.92,1.59,55.43
Sam Horsfield,2026,Majesticks Golf Club,29.0,285.0,0.0,41.96,70.83,1.67,52.38
Scott Vincent,2022,Torque GC,71.0,297.4,1.0,65.64,65.08,1.65,55.3
Scott Vincent,2023,Korean Golf Club,151.0,299.4,6.0,64.27,68.95,1.6,62.84
Scott Vincent,2024,Korean Golf Club,153.0,301.8,2.0,58.39,66.39,1.6,57.44
Scott Vincent,2026,Wild Card,36.0,278.6,1.0,57.14,70.14,1.54,72.09
Sebastian,2023,Torque GC,169.0,301.7,6.0,67.4,70.37,1.6,59.62
Sebastian,2024,Torque GC,178.0,301.9,4.0,63.39,70.28,1.58,59.81
Sebastian,2025,Torque GC,193.0,305.7,2.0,66.25,69.31,1.57,60.63
Sebastian,2026,Torque GC,41.0,279.5,2.0,58.04,76.39,1.58,64.71
Sergio Garcia,2022,Fireballs GC,74.0,303.1,3.0,66.32,74.07,1.65,65.31
Sergio Garcia,2023,Fireballs GC,164.0,305.9,4.0,63.9,72.22,1.63,67.69
Sergio Garcia,2024,Fireballs GC,173.0,306.0,3.0,66.96,72.64,1.59,73.1
Sergio Garcia,2025,Fireballs GC,165.0,309.8,3.0,65.36,66.81,1.59,60.67
Sergio Garcia,2026,Fireballs GC,30.0,293.0,1.0,60.71,78.47,1.68,54.84
Shaun Norris,2022,Southern Guards GC,65.0,303.3,1.0,58.08,63.23,1.64,52.52
Shergo Al Kurdi,2022,Majesticks Golf Club,13.0,293.8,1.0,61.54,66.67,1.57,50.0
Sihwan Kim,2022,Korean Golf Club,67.0,296.9,2.0,61.04,59.57,1.57,58.02
Sihwan Kim,2023,Korean Golf Club,122.0,281.8,0.0,54.33,57.83,1.63,43.92
Talor Gooch,2022,,88.0,294.6,2.0,69.42,73.28,1.64,57.43
Talor Gooch,2023,RangeGoats GC,174.0,297.9,4.0,66.3,71.37,1.57,72.64
Talor Gooch,2024,Smash GC,169.0,298.5,6.0,64.82,68.06,1.58,66.52
Talor Gooch,2025,Smash GC,156.0,303.0,2.0,65.54,68.61,1.59,64.6
Talor Gooch,2026,Smash GC,41.0,284.5,0.0,61.61,72.92,1.56,79.49
Thomas Detry,2026,,40.0,289.9,2.0,47.32,75.0,1.6,61.11
Thomas Pieters,2023,RangeGoats GC,154.0,305.2,4.0,52.55,66.67,1.59,61.4
Thomas Pieters,2024,RangeGoats GC,153.0,313.8,7.0,53.21,65.56,1.59,61.69
Thomas Pieters,2025,,161.0,317.1,4.0,55.0,68.47,1.58,65.64
Thomas Pieters,2026,,45.0,296.4,0.0,51.79,72.22,1.53,65.0
Tom McKibbin,2025,Legion XIII,150.0,322.2,7.0,60.18,69.31,1.62,62.9
Tom McKibbin,2026,Legion XIII,34.0,285.7,1.0,65.18,70.83,1.6,64.29
Travis Smyth,2022,,20.0,288.7,0.0,59.52,55.56,1.61,58.33
Turk Pettit,2022,,62.0,301.7,2.0,59.79,63.76,1.66,50.36
Tyrrell Hatton,2024,Legion XIII,192.0,308.2,4.0,54.82,70.28,1.53,68.69
Tyrrell Hatton,2025,Legion XIII,167.0,310.3,5.0,57.86,71.11,1.6,59.62
Tyrrell Hatton,2026,Legion XIII,43.0,284.5,2.0,55.36,69.44,1.54,65.91
Victor Perez,2026,Cleeks Golf Club,31.0,304.1,1.0,60.71,68.75,1.58,60.0
Viraj Madappa,2022,Korean Golf Club,9.0,271.2,1.0,38.46,61.11,1.76,38.1
Wade Ormsby,2022,,51.0,282.1,3.0,72.16,64.55,1.69,51.49
Wade Ormsby,2026,HyFlyers GC,16.0,283.8,0.0,76.79,65.28,1.57,64.0
Yosuke Asaji,2026,Wild Card,42.0,282.7,0.0,58.93,66.67,1.48,70.83
Younghan Song,2026,Korean Golf Club,32.0,287.2,1.0,57.14,74.31,1.67,56.76
Yubin Jang,2025,Korean Golf Club,130.0,315.9,0.0,54.03,64.1,1.68,54.76
Yuki Inamori,2022,,12.0,272.9,0.0,75.86,64.81,1.69,63.16
